id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jumlah_kendaraan,satuan,tahun
217,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,380266,UNIT,2019
218,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,317077,UNIT,2019
219,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,376812,UNIT,2019
220,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II (HAURGEULIS),166462,UNIT,2019
221,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,462379,UNIT,2019
222,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,322646,UNIT,2019
223,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,886616,UNIT,2019
224,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI (CIKARANG),1552845,UNIT,2019
225,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),647944,UNIT,2019
226,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,93523,UNIT,2019
227,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,488284,UNIT,2019
228,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,129226,UNIT,2019
229,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),622863,UNIT,2019
230,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),604864,UNIT,2019
231,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),519528,UNIT,2019
232,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,189435,UNIT,2019
233,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,1614965,UNIT,2019
234,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,796513,UNIT,2019
235,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),400026,UNIT,2019
236,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,321065,UNIT,2019
237,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,254063,UNIT,2019
238,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,71225,UNIT,2019
